n,ccr,shape,P,outdeg,rep,algo,makespan,energy,cost,reliability,load_balance
10,2,1,8,-1,2,GA,33564.536342383,3222217.642239793,2.862192638915278e-06,0.9999994848054574,0.059052243653792046
10,2,2,8,-1,0,HEFT,33564.756641875,3222248.797113944,4.154973377808347e-06,0.9999992521050717,0.07768089262808357
10,2,2,8,-1,0,GA,33565.595108876,3222329.7510224404,4.214543972193496e-06,0.9999992413823725,0.09418673333373347
10,2,2,8,-1,1,HEFT,33565.816831503,3222351.732426215,4.304470533275485e-06,0.9999992251956041,0.09680792883712533
10,2,2,8,-1,1,GA,33566.631090963,3222428.678977073,4.146543233259258e-06,0.9999992536224964,0.08755527488626494
10,2,2,8,-1,2,HEFT,33566.857431545,3222454.815855055,4.716075805521945e-06,0.999999151106715,0.04976833611468968
10,2,2,8,-1,2,GA,33567.727412657,3222550.2522536805,6.255896461071745e-06,0.9999988739392708,0.09311467194365361
10,2,4,8,-1,0,HEFT,33567.965097396,3222561.746314746,4.792889499933355e-06,0.9999991372802619,0.09117878477974733
10,2,4,8,-1,0,GA,33568.824174921,3222641.2739786077,4.4125563555199834e-06,0.9999992057401712,0.08246153506385319
10,2,4,8,-1,1,HEFT,33569.003402797,3222654.7130858367,3.925893711170324e-06,0.9999992933393818,0.06946550594452933
10,2,4,8,-1,1,GA,33569.829026465,3222732.5863975515,3.746751538953201e-06,0.9999993255849503,0.06347187823235893
10,2,4,8,-1,2,HEFT,33570.071092505,3222757.547560986,3.969338566700268e-06,0.9999992855193128,0.061892942587989205
10,2,4,8,-1,2,GA,33570.919973577,3222839.858839904,4.075113244430718e-06,0.9999992664798847,0.05056884097223132
10,5,0.8,8,-1,1,HEFT,33571.242172625,3222862.1663762997,2.9609566278344977e-06,0.9999994670279492,0.06722663343268935
10,5,0.8,8,-1,1,GA,33572.198212986,3222952.644005715,2.7927078887943125e-06,0.9999994973127063,0.03623476117532128
10,5,0.8,8,-1,2,HEFT,33572.503270485,3222985.1683315868,3.2111582721780807e-06,0.9999994219916778,0.075574257972077
10,5,0.8,8,-1,2,GA,33573.418336022,3223072.2735224385,3.115408827781923e-06,0.9999994392265683,0.049858275016695985
10,5,1,8,-1,0,HEFT,33573.769581999,3223103.2941161436,2.7666982221691997e-06,0.9999995019944441,0.11780650390041901
10,5,1,8,-1,0,GA,33574.736035108,3223193.268939995,2.4043371611494675e-06,0.9999995672194044,0.04385155134941895
10,5,1,8,-1,1,HEFT,33575.036283895,3223228.7196533503,3.2605167222451807e-06,0.9999994131071624,0.10420842751502146
10,5,1,8,-1,1,GA,33575.909634233,3223309.920470382,2.919326099961634e-06,0.9999994745214402,0.07874550987379393
10,5,2,8,-1,0,HEFT,33576.15383119,3223342.774351847,4.135214161093852e-06,0.999999255661728,0.07407536338152032
10,5,2,8,-1,0,GA,33576.994284827,3223424.11718332,4.220392755531874e-06,0.9999992403295926,0.06653718979057657
10,5,2,8,-1,1,HEFT,33577.235515903,3223449.627130226,4.524238183269821e-06,0.9999991856374584,0.06035430928303876
10,5,2,8,-1,1,GA,33578.066326682,3223534.4179449882,5.174493994369793e-06,0.9999990685915146,0.0806738968822369
10,5,2,8,-1,2,HEFT,33578.311400373,3223556.1337037077,4.940473888887532e-06,0.9999991107150952,0.10298213047300941
10,5,2,8,-1,2,GA,33579.133106732,3223626.8966376726,3.891265038813193e-06,0.9999992995725381,0.06972296526558419
10,5,4,8,-1,0,HEFT,33579.366630449,3223648.5995605714,3.7988420500268046e-06,0.9999993162086647,0.061162613694496194
10,5,4,8,-1,0,GA,33580.157688543,3223725.7459704177,3.9545052054664764e-06,0.9999992881893162,0.08488865546053714
10,5,4,8,-1,1,HEFT,33580.41108514,3223750.4346985486,4.001359833192611e-06,0.9999992797554893,0.08158587426711116
10,5,4,8,-1,1,GA,33581.272220226,3223833.8400697988,4.096502338830356e-06,0.9999992626298508,0.07426705185587265
10,5,4,8,-1,2,HEFT,33581.523237518,3223861.317929387,4.53322062781404e-06,0.9999991840206202,0.10135345404300593
10,5,4,8,-1,2,GA,33582.37525855,3223941.619248394,4.340365322221057e-06,0.999999218734547,0.11653474544390942
10,8,0.8,8,-1,0,HEFT,33582.690936694,3223964.789515233,3.4185520166728467e-06,0.9999993846608264,0.06342797376379924
10,8,0.8,8,-1,0,GA,33583.620089202,3224053.7433580756,3.386924377708864e-06,0.9999993903537976,0.09219358959074382
10,8,0.8,8,-1,2,HEFT,33583.936088704,3224080.1914578723,2.8846178667057153e-06,0.9999994807689183,0.06936811376494341
10,8,0.8,8,-1,2,GA,33584.917270899,3224174.4932955205,2.898616177804393e-06,0.999999478249224,0.06668098477108146
10,8,1,8,-1,1,HEFT,33585.230933777,3224207.5215657786,3.275442272206419e-06,0.9999994104205645,0.14439215802897382
10,8,1,8,-1,1,GA,33586.142345444,3224291.7877285345,2.8582126499612867e-06,0.999999485521855,0.09335472378983173
10,8,1,8,-1,2,HEFT,33586.511111288,3224326.588805084,2.7806358444649962e-06,0.9999994994856732,0.14354091932053745
10,8,1,8,-1,2,GA,33587.519180894,3224424.299195553,2.9015283888131514e-06,0.9999994777250265,0.08862021750041293
10,8,2,8,-1,0,HEFT,33587.794142882,3224461.890274074,4.347875633377246e-06,0.9999992173826922,0.06586521167325535
10,8,2,8,-1,0,GA,33588.698161925,3224544.243350968,3.775168755601044e-06,0.9999993204698546,0.06726025524254482
10,8,2,8,-1,1,HEFT,33588.97514002,3224573.7842257284,4.156432016679901e-06,0.9999992518425167,0.0657474547872868
10,8,2,8,-1,1,GA,33589.84008652,3224652.633878788,3.6157070889102117e-06,0.9999993491729355,0.06997654165022979
10,8,2,8,-1,2,HEFT,33590.099022724,3224681.0037922724,4.069458755556197e-06,0.9999992674976923,0.08112672193800183
10,8,2,8,-1,2,GA,33590.983030731,3224765.4650430526,4.017324661092264e-06,0.9999992768818223,0.04930200153278284
10,8,4,8,-1,0,HEFT,33591.28614874,3224795.7557092337,4.171244211061599e-06,0.9999992491763238,0.12501645594003702
10,8,4,8,-1,0,GA,33592.272132688,3224902.829016732,5.7757466000314004e-06,0.9999989603661523,0.17193647042038324
